latitude,longitude,elevation_m,hour,day_of_year,month,day_of_week,is_weekend,aod_insat,dist_to_aod_km,hcho_column,no2_column,so2_column,co_column,dist_to_tropomi_km,temperature_2m,dewpoint_2m,relative_humidity,wind_u,wind_v,wind_speed,wind_direction,boundary_layer_height,surface_pressure,total_precipitation,fire_count_5km,fire_count_25km,fire_frp_5km,fire_frp_25km,dist_to_nearest_fire_km,station_id,station_name,city,state,target_pm25,target_pm10,target_aqi,target_aqi_category,target_dominant
28.6476,77.3158,150.0,10,253,9,3,0,0.791,147.6,14.1,32.4,4.6,275.0,11.1,28.8,18.4,53.42789003478852,2.2,-1.5,2.66,304.3,510.0,998.0,0.0,0,0,0.0,0.0,112.59,DL001,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,194.0,298.0,357,Very Poor,PM25
28.5632,77.1869,150.0,10,253,9,3,0,0.791,132.0,14.1,32.4,4.6,275.0,6.0,28.8,18.4,53.42789003478852,2.2,-1.5,2.66,304.3,510.0,998.0,0.0,0,0,0.0,0.0,115.21,DL002,"R K Puram, Delhi - DPCC",Delhi,Delhi,168.0,242.0,338,Very Poor,PM25
28.674,77.131,150.0,10,253,9,3,0,0.791,133.7,14.1,32.4,4.6,275.0,10.1,28.8,18.4,53.42789003478852,2.2,-1.5,2.66,304.3,510.0,998.0,0.0,0,0,0.0,0.0,113.32,DL003,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,182.0,268.0,348,Very Poor,PM25
28.5628,77.0988,150.0,10,253,9,3,0,0.791,124.5,14.1,32.4,4.6,275.0,12.2,28.8,18.4,53.42789003478852,2.2,-1.5,2.66,304.3,510.0,998.0,0.0,0,0,0.0,0.0,121.93,DL004,"IGI Airport (T3), Delhi - IMD",Delhi,Delhi,154.0,220.0,327,Very Poor,PM25
30.901,75.8573,150.0,10,253,9,3,0,0.815,101.1,18.4,14.2,2.1,240.0,0.0,26.5,16.2,53.18356427611797,3.4,-2.9,4.47,310.5,480.0,985.0,0.0,1,1,54.0,54.0,0.0,PB001,"Civil Line, Ludhiana - PPCB",Ludhiana,Punjab,144.0,206.0,319,Very Poor,PM25
31.62,74.8765,150.0,10,253,9,3,0,0.215,93.0,16.8,12.8,1.8,225.0,1.6,26.5,16.2,53.18356427611797,3.4,-2.9,4.47,310.5,480.0,985.0,0.0,1,1,38.6,38.6,1.61,PB002,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,132.0,190.0,310,Very Poor,PM25
30.6942,76.8606,150.0,10,253,9,3,0,0.815,113.0,18.4,14.2,2.1,240.0,98.5,27.2,17.0,53.70027276375083,3.1,-2.4,3.92,307.7,520.0,990.0,0.0,0,0,0.0,0.0,61.0,HR001,"Sector 6, Panchkula - HSPCB",Panchkula,Haryana,92.0,145.0,207,Poor,PM25
29.025,77.068,150.0,10,253,9,3,0,1.084,141.0,14.1,32.4,4.6,275.0,47.7,28.0,17.8,53.90129667685796,2.8,-1.9,3.38,304.2,560.0,994.0,0.0,0,0,0.0,0.0,73.85,HR002,"Murthal, Sonipat - HSPCB",Sonipat,Haryana,158.0,230.0,330,Very Poor,PM25
27.2,78.01,150.0,10,253,9,3,0,1.33,133.4,15.2,28.6,5.8,260.0,172.3,29.4,19.1,53.91353257903069,1.9,-1.1,2.2,300.1,620.0,1002.0,0.0,0,0,0.0,0.0,77.93,UP001,"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,126.0,184.0,305,Very Poor,PM25
25.35,82.98,150.0,10,253,9,3,0,0.831,121.9,13.6,26.8,9.4,205.0,131.8,30.1,20.5,56.48040734635153,1.4,-0.8,1.61,299.7,710.0,1005.0,0.0,0,0,0.0,0.0,387.57,UP002,"Ardhali Bazar, Varanasi - UPPCB",Varanasi,Uttar Pradesh,112.0,168.0,274,Poor,PM25
26.48,80.32,150.0,10,253,9,3,0,1.312,62.2,13.6,26.8,9.4,205.0,346.1,29.4,19.1,53.91353257903069,1.9,-1.1,2.2,300.1,620.0,1002.0,0.0,0,0,0.0,0.0,271.24,UP003,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,150.0,214.0,324,Very Poor,PM25
25.62,85.16,150.0,10,253,9,3,0,1.015,94.1,13.6,26.8,9.4,205.0,297.1,30.1,20.5,56.48040734635153,1.4,-0.8,1.61,299.7,710.0,1005.0,0.0,0,0,0.0,0.0,589.82,BR001,"Muradpur, Patna - BSPCB",Patna,Bihar,142.0,204.0,318,Very Poor,PM25
19.0657,72.8687,150.0,10,253,9,3,0,0.227,138.1,11.2,24.5,3.8,195.0,1.5,31.0,23.5,64.41413860290172,-1.5,2.2,2.66,145.7,850.0,1008.0,0.0,0,0,0.0,0.0,511.31,MH001,"Bandra Kurla Complex, Mumbai - MPCB",Mumbai,Maharashtra,84.0,132.0,180,Moderate,PM25
18.5314,73.8446,150.0,10,253,9,3,0,0.234,61.3,11.2,24.5,3.8,195.0,118.4,29.5,21.0,60.291971087320064,-1.2,1.8,2.16,146.3,920.0,960.0,0.0,0,0,0.0,0.0,510.63,MH002,"Shivajinagar, Pune - MPCB",Pune,Maharashtra,72.0,115.0,140,Moderate,PM25
21.15,79.08,150.0,10,253,9,3,0,0.38,134.1,13.6,26.8,9.4,205.0,500.2,29.5,21.0,60.291971087320064,-1.2,1.8,2.16,146.3,920.0,960.0,0.0,0,0,0.0,0.0,244.41,MH003,"Civil Lines, Nagpur - MPCB",Nagpur,Maharashtra,64.0,102.0,114,Moderate,PM25
