lat,lon,aod_550nm,qc_flag,cloud_fraction,satellite,timestamp,source_type,qa_status
8.0,70.0,0.463,0,0.05,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,72.0,0.263,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,74.0,0.355,0,0.13,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,76.0,0.2,0,0.21,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,78.0,0.177,0,0.22,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,80.0,0.354,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,82.0,0.498,0,0.17,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,84.0,0.195,0,0.01,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,88.0,0.378,0,0.06,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,90.0,0.235,0,0.08,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
8.0,92.0,0.483,0,0.18,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,70.0,0.454,0,0.25,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,72.0,0.161,0,0.0,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,74.0,0.398,0,0.07,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,78.0,0.381,0,0.0,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,80.0,0.366,0,0.16,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
10.0,84.0,0.415,0,0.17,INSAT-3DR,2026-09-10 09:30:00,Satellite Observed,Valid Cloud-Free AOD
